Algorithm,Array Size,Comparisons,Swaps
InsertionSort,8,28,34
QuickSort,8,14,19
HybridSort,8,28,35
InsertionSort,9,36,44
QuickSort,9,20,28
HybridSort,9,36,45
InsertionSort,10,44,51
QuickSort,10,27,36
HybridSort,10,44,52
InsertionSort,11,55,64
QuickSort,11,30,40
HybridSort,11,54,56
InsertionSort,12,65,73
QuickSort,12,32,41
HybridSort,12,62,64
InsertionSort,13,78,87
QuickSort,13,36,45
HybridSort,13,65,68
InsertionSort,14,88,96
QuickSort,14,45,56
HybridSort,14,74,78
InsertionSort,15,105,118
QuickSort,15,56,70
HybridSort,15,82,87
InsertionSort,16,120,132
QuickSort,16,64,78
HybridSort,16,92,98
InsertionSort,17,132,142
QuickSort,17,62,76
HybridSort,17,85,90
InsertionSort,18,152,164
QuickSort,18,76,91
HybridSort,18,107,115
InsertionSort,19,171,184
QuickSort,19,79,93
HybridSort,19,103,109
InsertionSort,20,189,201
QuickSort,20,97,113
HybridSort,20,125,134
InsertionSort,21,210,226
QuickSort,21,105,122
HybridSort,21,132,143
InsertionSort,22,231,245
QuickSort,22,103,119
HybridSort,22,132,141
InsertionSort,23,252,271
QuickSort,23,85,103
HybridSort,23,113,121
InsertionSort,24,276,295
QuickSort,24,98,115
HybridSort,24,119,128
InsertionSort,25,300,317
QuickSort,25,120,137
HybridSort,25,145,156
InsertionSort,26,323,342
QuickSort,26,153,176
HybridSort,26,172,186
InsertionSort,27,347,366
QuickSort,27,158,180
HybridSort,27,190,203
InsertionSort,28,378,396
QuickSort,28,166,186
HybridSort,28,189,203
InsertionSort,29,403,422
QuickSort,29,168,191
HybridSort,29,182,197
InsertionSort,30,434,457
QuickSort,30,177,201
HybridSort,30,192,206
InsertionSort,31,464,487
QuickSort,31,199,224
HybridSort,31,220,236
InsertionSort,32,496,521
QuickSort,32,240,267
HybridSort,32,271,291
