Algorithm,Array Size,Comparisons,Swaps
InsertionSort,8,7,7
QuickSort,8,1,7
HybridSort,8,7,8
InsertionSort,9,8,8
QuickSort,9,3,9
HybridSort,9,8,9
InsertionSort,10,9,9
QuickSort,10,2,9
HybridSort,10,9,10
InsertionSort,11,10,10
QuickSort,11,2,10
HybridSort,11,10,11
InsertionSort,12,11,11
QuickSort,12,5,14
HybridSort,12,11,12
InsertionSort,13,12,12
QuickSort,13,1,12
HybridSort,13,11,13
InsertionSort,14,13,13
QuickSort,14,7,16
HybridSort,14,11,14
InsertionSort,15,14,14
QuickSort,15,3,15
HybridSort,15,10,15
InsertionSort,16,15,15
QuickSort,16,12,25
HybridSort,16,11,16
InsertionSort,17,16,16
QuickSort,17,10,22
HybridSort,17,18,21
InsertionSort,18,17,17
QuickSort,18,1,17
HybridSort,18,10,18
InsertionSort,19,18,18
QuickSort,19,7,22
HybridSort,19,14,21
InsertionSort,20,19,19
QuickSort,20,6,21
HybridSort,20,12,20
InsertionSort,21,20,20
QuickSort,21,9,24
HybridSort,21,14,23
InsertionSort,22,21,21
QuickSort,22,5,22
HybridSort,22,13,22
InsertionSort,23,22,22
QuickSort,23,4,24
HybridSort,23,11,23
InsertionSort,24,23,23
QuickSort,24,3,23
HybridSort,24,13,24
InsertionSort,25,24,24
QuickSort,25,4,25
HybridSort,25,11,25
InsertionSort,26,25,25
QuickSort,26,7,26
HybridSort,26,14,26
InsertionSort,27,26,26
QuickSort,27,12,33
HybridSort,27,18,30
InsertionSort,28,27,27
QuickSort,28,10,31
HybridSort,28,17,30
InsertionSort,29,28,28
QuickSort,29,10,31
HybridSort,29,18,31
InsertionSort,30,29,29
QuickSort,30,5,29
HybridSort,30,14,30
InsertionSort,31,30,30
QuickSort,31,6,31
HybridSort,31,13,31
InsertionSort,32,31,31
QuickSort,32,6,31
HybridSort,32,15,32
